#,CPU,Type,Performance,Cores / threads,Year,TDP,Brand
1,Intel Xeon 6960P,server,74.09,72 / 144,2024,500 W,Intel
2,Intel Xeon 6781P,server,66.89,80 / 160,2025,350 W,Intel
3,Intel Xeon 6747P,server,57.66,48 / 96,2025,330 W,Intel
4,Intel Xeon 6741P,server,57.08,48 / 96,2025,300 W,Intel
5,Intel Xeon w9-3595X,server,55.31,60 / 120,2024,385 W,Intel
6,Intel Xeon 6740P,server,51.43,48 / 96,2025,270 W,Intel
7,Intel Xeon w9-3495X,server,51.29,56 / 112,2023,350 W,Intel
8,Intel Xeon 6780E,server,49.19,144 / 144,2024,330 W,Intel
9,Intel Xeon Max 9480,server,47.02,56 / 112,2023,350 W,Intel
10,Intel Xeon w9-3575X,server,46.79,44 / 88,2024,340 W,Intel
11,Intel Xeon 6737P,server,45.16,32 / 64,2025,270 W,Intel
12,Intel Xeon 6740E,server,43.19,96 / 96,2024,250 W,Intel
13,Intel Xeon 6730P,server,42.03,32 / 64,2025,250 W,Intel
14,Intel Xeon Gold 6548Y+,server,41.62,32 / 64,2023,250 W,Intel
15,Intel Xeon w7-3565X,server,40.25,32 / 64,2024,335 W,Intel
16,Intel Xeon Gold 6448H,server,39.86,32 / 64,2023,250 W,Intel
17,Intel Xeon w7-3555,server,38.42,28 / 56,2024,325 W,Intel
18,Intel Core Ultra 9 285K,desktop,38.27,24 / 24,2024,125 W,Intel
19,Intel Xeon w7-2595X,server,37.46,26 / 52,2024,250 W,Intel
20,Intel Xeon w9-3475X,server,36.90,36 / 72,2023,300 W,Intel
21,Intel Xeon 6521P,server,36.72,24 / 48,2025,225 W,Intel
22,Intel Xeon 6520P,server,36.30,24 / 48,2025,210 W,Intel
23,Intel Xeon w7-3465X,server,35.54,28 / 56,2023,300 W,Intel
24,Intel Xeon Gold 6438Y+,server,35.53,32 / 64,2023,205 W,Intel
25,Intel Xeon 6710E,server,34.82,64 / 64,2024,205 W,Intel
26,Intel Xeon Gold 5520+,server,34.72,28 / 56,2023,205 W,Intel
27,Intel Core i9-13900KS,desktop,34.34,24 / 32,2023,150 W,Intel
28,Intel Core i9-14900KS,desktop,34.32,24 / 32,2024,150 W,Intel
29,Intel Xeon Gold 6448Y,server,34.28,32 / 64,2023,225 W,Intel
30,Intel Xeon Gold 5512U,server,34.23,28 / 56,2023,185 W,Intel
31,Intel Xeon Gold 6542Y,server,34.11,24 / 48,2023,250 W,Intel
32,Intel Xeon W-3375,server,33.51,38 / 76,2021,270 W,Intel
33,Intel Xeon Gold 6421N,server,33.34,32 / 64,2023,185 W,Intel
